X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,HOUR,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,DIVISION,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,POLICE_DIVISION,HOOD_ID,NEIGHBOURHOOD,ObjectId,VEHICLE_IN_STREET
-8851170.453,5416653.041,80948884,8001478093,2018,2018/08/11 04:00:00+00,1420,14,EGLINTON AVE W,SCARLETT RD,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.68389,-79.511417,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,Minor,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,8,Humber Heights-Westmount (8),14001,8
-8850135.07,5431410.374,80897472,8000432892,2018,2018/03/08 05:00:00+00,2240,22,STEELES AVE E,FOUNDERS RD,185 m East of,Major Arterial,Etobicoke York,7,31,43.779681,-79.502116,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,20 to 24,Major,<Null>,South,<Null>,<Null>,<Null>,<Null>,Pedestrian hit at mid-block,Running onto Roadway,"Ability Impaired, Alcohol",<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,D31,27,York University Heights (27),14002,27
-8838360.474,5411236.443,80942967,8000243481,2018,2018/02/08 05:00:00+00,313,3,SPADINA AVE,QUEEN ST W,<Null>,Major Arterial,Toronto and East York,10,"52,14",43.648692,-79.396343,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Slush,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,15 to 19,Minor,<Null>,East,<Null>,<Null>,<Null>,<Null>,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,Yes,<Null>,<Null>,D52,77,Waterfront Communities-The Island (77),14004,77
-8856754.572,5426504.717,80951056,8001647335,2018,2018/09/05 04:00:00+00,2218,22,2592 FINCH AVE W,<Null>,100 m East of,Major Arterial,Etobicoke York,7,31,43.747855,-79.56158,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Passenger,20 to 24,Minimal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D31,22,Humbermede (22),14005,22
-8851170.453,5416653.041,80948885,8001478093,2018,2018/08/11 04:00:00+00,1420,14,EGLINTON AVE W,SCARLETT RD,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.68389,-79.511417,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Passenger,0 to 4,Minor,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,8,Humber Heights-Westmount (8),14006,8
-8851170.453,5416653.041,80948886,8001478093,2018,2018/08/11 04:00:00+00,1420,14,EGLINTON AVE W,SCARLETT RD,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.68389,-79.511417,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,30 to 34,Minor,<Null>,Unknown,<Null>,<Null>,<Null>,<Null>,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,8,Humber Heights-Westmount (8),14007,8
-8851170.453,5416653.041,80948887,8001478093,2018,2018/08/11 04:00:00+00,1420,14,EGLINTON AVE W,SCARLETT RD,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.68389,-79.511417,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,None,<Null>,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,8,Humber Heights-Westmount (8),14008,8
-8851170.453,5416653.041,80948888,8001478093,2018,2018/08/11 04:00:00+00,1420,14,EGLINTON AVE W,SCARLETT RD,<Null>,Major Arterial,Etobicoke York,2,"23,22",43.68389,-79.511417,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,25 to 29,Major,<Null>,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,<Null>,Yes,<Null>,Yes,<Null>,<Null>,<Null>,D22,8,Humber Heights-Westmount (8),14009,8
-8844091.535,5417549.753,80949009,8001481293,2018,2018/08/12 04:00:00+00,26,0,DUFFERIN ST,GIBSON ST,60 m South of,Major Arterial,Etobicoke York,"9,12",13,43.689715,-79.447826,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Motorcycle Driver,30 to 34,Major,<Null>,North,Motorcycle,Overtaking,Improper Passing,Unknown,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D13,107,Oakwood Village (107),14010,107
-8844091.535,5417549.753,80949010,8001481293,2018,2018/08/12 04:00:00+00,26,0,DUFFERIN ST,GIBSON ST,60 m South of,Major Arterial,Etobicoke York,"9,12",13,43.689715,-79.447826,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Approaching,Driver,30 to 34,Minor,<Null>,South,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,Yes,Yes,<Null>,<Null>,<Null>,Yes,Yes,Yes,<Null>,<Null>,<Null>,D13,107,Oakwood Village (107),14011,107
